,ClassIds,Confidences,TLpoint,BRpoint
0,56,0.5187873244285583,"[416, 233]","[563, 338]"
1,63,0.5176728963851929,"[60, 204]","[139, 257]"
2,56,0.5168476104736328,"[225, 205]","[307, 267]"
3,56,0.5159609317779541,"[315, 147]","[661, 420]"
4,0,0.5132972002029419,"[293, 127]","[359, 218]"
5,0,0.5122940540313721,"[85, 311]","[181, 427]"
6,56,0.5121976137161255,"[175, 142]","[361, 342]"
7,56,0.5120949745178223,"[329, 224]","[406, 329]"
8,56,0.5087316036224365,"[182, 175]","[249, 273]"
9,56,0.5080424547195435,"[278, 221]","[363, 283]"
10,0,0.5030614733695984,"[-80, 174]","[231, 350]"
11,0,0.5020152926445007,"[309, 154]","[335, 189]"
12,56,0.49938318133354187,"[-12, 225]","[62, 286]"
13,56,0.4976009130477905,"[201, 243]","[247, 271]"
14,0,0.49750077724456787,"[80, 122]","[184, 285]"
15,62,0.4932536780834198,"[231, 121]","[271, 145]"
16,56,0.48872074484825134,"[260, 266]","[338, 392]"
17,0,0.48729994893074036,"[104, 189]","[150, 221]"
18,56,0.48561906814575195,"[368, 189]","[412, 212]"
19,56,0.48189419507980347,"[397, 186]","[470, 286]"
20,62,0.47491925954818726,"[239, 124]","[252, 137]"
21,0,0.4742814004421234,"[448, 82]","[507, 162]"
22,0,0.4731128513813019,"[469, 109]","[490, 136]"
23,73,0.4715540111064911,"[136, 326]","[190, 364]"
24,0,0.4712689518928528,"[-15, 275]","[319, 459]"
25,24,0.4688643217086792,"[154, 217]","[200, 245]"
26,39,0.4688480496406555,"[320, 183]","[329, 196]"
27,62,0.4664853811264038,"[360, 105]","[390, 150]"
28,62,0.4592026472091675,"[364, 122]","[375, 134]"
29,56,0.4555417597293854,"[215, 177]","[260, 212]"
30,0,0.45467397570610046,"[40, 219]","[93, 292]"
31,56,0.4538339376449585,"[48, 288]","[137, 349]"
32,0,0.4507042169570923,"[507, 111]","[547, 135]"
